,Username,Tweet,Polarity,Tweet_Tune
16,hudsonkw86,"So McConnell is finally “willing to engage on limited gun measures ‘directly related’ to Uvalde? 
But why not Buffalo you racist Fucktard!!!!!",0.05952380952380953,1
17,mkhodges,"I've been hearing this ""breakdown of society"" crap for 50 years. I even once believed it
 
It's the guns, stupid",-0.8,-1
18,BadChad53,"You have got the kidding me,right? Not even opening up the discussion is just as bad as pulling the trigger…",-0.6999999999999998,-1
19,KevinHowey22,"Private gun owners:
Wouldn’t you be willing to give up your AR-15s if it would bring those 19 children back?",0.08333333333333333,1
20,Apoptos44475462,"THEY HAVE TO MAKE SURE THEIR #REPUBLIGUN MILITIAS CAN ARM/AMMO UP FOR THE SOON TO BE CIVIL WAR....THE TRUCKER CONVOYS ARE GAINING NEW CIVIL WAR PARTICIPANTS 
(THAT IS THE SOLE PURPOSE OF THE CONVOYS)

PLUS THEY ALL STRIVE FOR THE A+ ''GRADE'' THE NRA WILL GIVE THEM

#GUNBITCHBOIS",0.21212121212121213,1
21,BrianPuharich,Uvalde Shooter Fired Gun For 12 Minutes Outside School Before Entering https://t.co/lWoc0wAkmw,0.0,0
22,EMorgan52,"@Newsweek Good for them... Now protest that you want your school taken off the ""gun free zone"" list and that you need an armed safety officer at the school",0.55,1
23,emersonlejong,"Wait, so gun control laws aren’t going to help prevent shootings but laws against abortion are supposed to stop abortions?",0.0,0
24,MudderFudder77,For several years I’ve filed legislation to require photo ID to verify the age of purchasers of guns and ammunition after @fox4kc showed how easy it is for a teenager to purchase both illegally in the middle of the school day. Four years no hearing. #moleg https://t.co/qunRhepORH,-0.016666666666666663,-1
25,KataKateri,"@farrisj That poor family. 😢 And, Cruz would not even discuss rational gun control policy the other night.. called it Democratic Party talking points. How callous do you have to be to watch this happen over &amp; over and do nothing???",-0.2625,-1
26,notleviscott,"congratulations America, I didn’t think you could outdo yourself but “cops threatening to stun gun Latino parents as their little kids were murdered” is a new zenith in Bipartisan National Death Drive",-0.025568181818181823,-1
27,victorehusky,Child Gun Deaths In Texas Doubled Under Greg Abbott. Then Came Uvalde. https://t.co/Zd4w23Szlv via @Yahoo,0.0,0
28,davidlewis77,"Wait, so gun control laws aren’t going to help prevent shootings but laws against abortion are supposed to stop abortions?",0.0,0
29,rose4worldpeace,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1
30,MsCocoLov,Once again the Senate GOP are standing in the way. From common sense gun reform to Women’s rights to voting rights they have blocked &amp; obstructed positive change. We MUST pick up seats in the Senate!  Support our candidates &amp; state parties in races to add to the majority!,0.027556818181818182,1
31,theseconddb,"Kids here are holding signs that say things like:  “I want 2 B a scientist, not a gun statistic.” https://t.co/GFeM2hkH3n",0.0,0
32,Patrici64988464,"@Numbers28 Too disgusted.
I find it difficult to post without profanity right now.
I hadn't processed the blind rage of Buffalo, now this murdering of children.
They had to use DNA to Identify the victims. Rot in hell all gun owners who oppose strict gun control.
These deaths are on you. https://t.co/xe1fAYFVZJ",-0.4285714285714286,-1
33,thattizzank,"It used to be kids were twice as likely to die in auto accidents than by gunshot. But in 2020 for the first time, firearms became the leading cause of death among American kids, surpassing motor vehicles. ⁦@caitlinnowens⁩  https://t.co/Q502Pike3Z",0.08333333333333333,1
34,VictoriaZapatos,This shooting could have been prevented with an armed security guard. It could have been prevented if the cops had done their jobs. It could have been printed if they LOCKED THE DOOR. It could have been prevented in a dozen simple ways. Gun laws have nothing to do with it.,0.0,0
35,KellyUlrich16,"If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Pretty simple.",0.125,1
36,cobraham,"We have to agree to never publicize the names of school shooters and other publicity-seeking mass murderers. This is not a gun or even a ""mental health"" issue. It's an issue of malevolent narcissists weaponizing mass media. Stop publishing their names and the problem will end.",-0.3416666666666666,-1
37,matt4etc,Professor @JonathanTurley is a widely respected Constitutional law scholar. You're a failed talk show host.,-0.3,-1
38,JenJamesBeauty,Like he sent Tim Scott to work on voting rights and police reform?,0.0,0
39,roboThomas,"Bullshit.
Countries like Australia that have imposed strict gun control cut the instance of gun murders by 70%.",0.0,0
40,kilojoule_kj,@Newsweek Children being killed by a crazy person using firearms does not warrant gun control no more than animators being killed by a crazy arsonist using gasoline does not warrant gasoline control. 🤷‍♀️,-0.37,-1
41,NagaConnie,Tried to visit the gun store that sold weapons to the Uvalde gunman. Was stopped in parking lot by management. It’s open but I’m not allowed in. Asked why… “You have a notepad… and an accent.”,0.0,0
42,mitchw7959,"Dear CEOS of gun manufacturers, please stop making and selling AR-15s. Just do the right thing.",0.2857142857142857,1
43,stariawars,"Japan's process for buying a gun requires an interview with the police about why you need a gun, a psych evaluation, 3 different permits and a background check that includes interviews of family and neighbors.",0.0,0
44,candmackerel,"everyone from the building is safe and in the clear!! fb says the have the guy in custody! 
that was fucking scary! thank you for everyone checking in!",-0.028645833333333332,-1
45,CurseWokeIsland,"I had to walk through a metal detector at where I went to both middle and high schools. There were police at the once entrance and rest of the doors were locked, sometimes chained.

It works.

What doesn't work, is gun control. It was a blue antigun state. Yet everyone had a gun.",0.05333333333333334,1
46,travelingjack22,"Senate millionaires leave DC without one republican asked if they bear personal responsibility for the gun deaths 

Come judgement day, a lot of prolife republicans are going to be shocked",-0.35,-1
47,somuchtodo2,"#AbbottCruzMassacre 

We are tired of thoughts and prayers without action.

And we will NOT allow for this kind of tragedy to continue

— Olivia Julianna (@0liviajulianna) May 25, 2022

https://t.co/DQe8OzuqBZ",0.09999999999999998,1
48,kellykellskells,"It’s just sick that gun manufacturers have spent two decades aggressively marketing assault weapons which make them some of the biggest profits. 

For God’s sake, let’s have the courage to stand up to the industry.",-0.40714285714285714,-1
49,Raigynnn,"if i wanted to go out and buy a gun rn, i could. like very easily. …. y’all don’t want a nigga like me in the streets wit a gun. im a damn idiot",-0.11833333333333335,-1
50,Di_zapata,Again,0.0,0
51,FlimsRadar,"@NoLieWithBTC But surely all those “trained and responsible” gun owners carrying their guns would make it the safest place in the entire country?

Isn’t that the NRA’s thinking for how to make schools safe?",0.3,1
52,sortaskeptical,"@Gdad1 @LoveMyKiaraM @bab_102 @Gdad1x6 @Blake_RESISTS @SusanClendaniel @chari_fish @PappyParki @keyboardwren @LarryWoolfolk2 @BeaReno @myteddyisblue @BilliWebb18 @GCDCBflo @Paul_Is_Muadib @LaxerJoe @FullyWoke1 @RenfroRoss @SteveWasHereb4 @cjr_Rainey @Gdad1 Thank you &amp; coming from YOU, what a compliment♥️♥️♥️

Let’s remember these sweet, innocent children💔💔💔
Let’s demand gun control from our elected officials!

#VoteBlueToSaveOurKids 
#EndGunViolence 
#ProtectOurChildren https://t.co/AkCy3r0HAK",0.4875,1
53,drloreejohnson,Great thread about the “link” mental health and gun violence.,0.35000000000000003,1
54,BAF8141,"@AlickRoberts @hodgetwins @RpsAgainstTrump We would NEVER ""give up our guns"". There will also be no infringement of rights. 

The mental health crisis in this country is a bigger issue that a damn gun. There are many sick people living here. Guns do not fire themselves. Crazy, sick, deranged, disturbed individuals do.",-0.2714285714285714,-1
55,Annananas78,"Today I am doing three small things, and I invite you to join me if you can. 1) I'm reading this poem, yet again, and thinking about the author's question: what is the opposite of a gun? https://t.co/txCoUmpKtX",-0.125,-1
56,Annmak19447006,"""The U.S. stands out as the only high-income country with a dramatically high firearm homicide rate. The number of deaths through physical violence by firearms is 10 times higher in the U.S. than in the U.K.""
https://t.co/FPtn5h24wi",0.10250000000000001,1
57,hugeshark,"@OhPipeDown There are some interesting aspects to Australia. Their gun laws have been pretty successful in reducing mass murder incidents. The social safety net is much bigger than here, less wealth gap, less poverty...

https://t.co/zFgL9Ka495
https://t.co/tUdDsagE9H",0.15,1
58,Ilene3youtz,"@Ironyrulesall @atrupar Yes. So is greed, hate, blind followers, people with compromised pasts, and gun nuts.",-0.65,-1
59,David76583783,"American politicians refuse to regulate gun ownership

American politicians normalize hateful ideologies through legislation 

American media companies like Netflix platform racists and transphobes

American news media treats xenophobia, racism, and transphobia like “opinions”",0.0,0
60,TheMiddleborne,Why is this relevant?,0.4,1
61,Hmiller1011,The senate just adjourned for Memorial Day recess. They’ll be back to continue doing nothing to stop gun violence on June 6th.,0.0,0
62,nylerobin,"The Falkland Islands have almost as many guns per capita as America.

Why don’t they have any mass shootings?

It is not a gun problem.",0.5,1
63,Samseay34,"So try he leftist say more gun laws are needed, which I’m sure criminals Will obey  you know because they’re Criminals",0.31666666666666665,1
64,adreeennaaa,"@zerohedge ""good guy with a gun"" nowhere to be found in a state like Texas where they apparently exists everywhere",0.375,1
65,pattydenke,"Today, for the 2nd straight day, at the same time students at Oxford High School were staging a walkout in solidarity with #Uvalde and to protest the inexcusable inaction on gun violence, the Michigan Senate GOP adjourned before “Statements” to silence us.

They are cowards. 🧵",0.09,1
66,coolhat69,thinking about the gun control episode of bojack rn https://t.co/R9TltuDNBZ,0.0,0
67,am_escobar,To sum up: The GOP supports laws that force women to have children but refuses to support laws to save those children's lives from gun violence.,0.0,0
68,erikmray,Stop weaponizing mental illness to excuse inaction regarding common sense gun legislation.,-0.15,-1
69,885wfdd,Local activist calls for more resources for communities of color when it comes to gun violence https://t.co/QwXzek1lOM https://t.co/HqUDgHz0el,0.25,1
70,Hawkshot86,"@painandinsomnia @TheAKGuy I would also love that. He's quick to make political jabs when it suits him, but as soon as he's on the defensive he shuts down the conversation.
Pretty immature, almost forgot he is, at the end of the day, a gun manufacturer. He's the problem &amp; has zero interest in a solution.",0.18555555555555553,1
71,drogon_dracarys,Multiple countries have dramatically changed their gun laws after a horrific string of tragic gun violence,-0.5833333333333334,-1
72,FuckMuskratte,"@PDG887 @mattyglesias @rickperlstein I agree that they are wrong, but proving it is not that easy, you need e.g. a randomized controlled study. 
I’d also guess that republicans think that need to get rid of non-whites, not guns, to solve the gun violence problem.",-0.033333333333333326,-1
73,SharonW1104,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1
74,aalleyne,"""If only there were some way the NRA, with its millions of dollars in membership donations and ties to the vast majority of congressional Republicans, could influence America’s gun debate in a way that would make our children safer."" https://t.co/sqXbZbCQG9 via @msnbc",0.0,0
75,ls2000,Ted Cruz angrily quits interview after being confronted about gun control https://t.co/qr53aloRle,-0.5,-1
76,NanaLindaK,"OMG, YES!",0.0,0
77,ceez_the_great,Why do I think gun control could work? Because fuckin grenade control works.,0.0,0
78,mkolken,Biden cares so much about gun control that he left $80 billion in actual military grade weapons for the Taliban in Afghanistan.,0.025,1
79,zzzendica,this shit is cute i'm proud of the label,0.3666666666666667,1
80,GrowlinAtTheSun,"MY GOD, that video of the parents BEGGING police, you can still hear the fuqqing gun shots.

MY GOD I AM PISSED THE FUQQ OFF.",0.0,0
81,DolphinDemVoter,"oh... it appears that the gun manufacturer who made the AR-15 style assault rifle also offered its thoughts and prayers, pulled out of the NRA convention (where guns are not allowed), and went quiet on social media. 

https://t.co/sJhea8kO1t",0.016666666666666666,1
82,trailcrumbs,BREAKING: Senate Republicans blocked a domestic terrorism bill that would have opened debate on gun measures after the deadly Texas school shooting. https://t.co/hMdW0iNItZ,-0.1,-1
83,Mat_Brazers,"40% of Uvalde’s city budget goes to police. The school district had its own police force. This is what happened ⬇️

After decades of mass shootings, there is still 0 evidence that police have the ability to stop them from happening. Gun safety and other policies can.",0.2375,1
84,susantweetsNY,"@SenSchumer Bring up dozens of STAND-ALONE BILLS on the floor to get every single Senator on the record and pass at least some of them. Act now.

- Universal background checks.
- Must be at least 21 to buy a gun.
- Ban extended clips/high-capacity magazines
- Ban bump stocks
etc. etc. https://t.co/s0ZzLHUUdV",-0.16785714285714287,-1
85,jiminfloss,"If the gun protectors in Congress are voted out, things may change. If they retain their seats, nothing will change.
Pretty simple.",0.125,1
86,cloudydays1971,Tried to visit the gun store that sold weapons to the Uvalde gunman. Was stopped in parking lot by management. It’s open but I’m not allowed in. Asked why… “You have a notepad… and an accent.”,0.0,0
87,Grumpa1945,"The murder rate in Baltimore is 58.27 per 100,000.

Its the 11th most violent city in the world...and has VERY strict gun laws. https://t.co/nqOHI8sRnM",-0.03333333333333335,-1
88,_MyFriendCourt,"An unarmed parent would do anything for their child, including die…police…not their job, gotta follow protocol. Don’t you care about cops?! Like…I’m really convinced you’re mentally I’ll and definitely don’t need guns if you’re trying to logically justify ANY of this still.",0.0875,1
89,starrifle,"@Public_Citizen @joebarton1238 Ted Cruz was the biggest recipient of money from gun rights backers with $311,151.",0.0,0
90,lilyannibobani,"We know common sense gun laws can’t and won’t prevent every tragedy. But we know they work and have a positive impact.

When we passed the assault weapons ban — mass shootings went down.

When the law expired — mass shootings tripled.",-0.0760942760942761,-1
91,ColonCancer8,"@FireStormFox1 @Ryu1303 @StephenKing Diversity is not exclusive to America. There are so many other developed diverse nations in the world that do not have this issue of mass shootings. Literally the ONE thing that can change that is a gun ban, like every other sensible country has. It is that simple.",0.06999999999999999,1
92,bc_nbc,After all the violence and death I think its time we do the only logical thing and implement gun policy based on the opinions of people who have never used or researched guns,0.125,1
93,BenBrisebois,I have way more of a problem with people carrying in public in urban centres than I do with private gun ownership generally,0.11000000000000001,1
94,JASH725,"@NobleParkRiot Not surprising. Ever since the republicans found it acceptable for children to die, any talk of gun legislation went out the window. They do not care. Nothing will come of this like nothing has come of any past mass shootings.",-0.3,-1
95,AnthropoceneM,"Breaking:

WASHINGTON (AP) -- Senate GOP blocks domestic terrorism bill that would have opened debate on gun measures after Texas school shooting.",0.0,0
96,PaulSibert,"@trvjiyo @WatchChad And again
https://t.co/e4YaatP6p5",0.0,0
97,DeadB0y,It’s crazy that Comedians are doing better jobs than some journalists.,-0.04999999999999999,-1
98,scarpenter1963,"Private gun owners:
Wouldn’t you be willing to give up your AR-15s if it would bring those 19 children back?",0.08333333333333333,1
99,Jennife58996304,"Listen, shitlibs, the only answer to a bad guy with a gun is a good guy with a gun* 

*unless, of course, the good guys with the guns just decide to hang out outside while the bad guy when the gun murders children",3.700743415417188e-17,1
100,Ted18641,"The 2nd Amdt allows reasonable gun safety regulation. It does not give anyone the right to carry assault rifles, purchase a gun without a violent criminal background check or carry guns into public schools or govt buildings. SCOTUS, led by Justice Scalia, was emphatic on this.",-0.11904761904761907,-1
101,Viror12,"VIDEO: Dora Mendoza, whose 10-year-old granddaughter was killed in the Robb Elementary School shooting in Uvalde, Texas, pleads with authorities to address the country's gun violence epidemic: ""Do something about it, I beg you"" https://t.co/tRp1iK3D3J",0.04999999999999999,1
102,DausyQ,"Jefferson students engage in a walk out to protest gun violence and demand action from Congress. “I should be writing my final ESSAY not my final WILL,” read a sign. https://t.co/VdcCxxW8Fu",0.03333333333333333,1
103,virgopixie,"europeans will prove time and time again that they have no empathy for serious issues within the U.S, such as gun violence. i promise you if we wanted to leave we would have... go fuck yourself",-0.24444444444444446,-1
104,lgcomin,Criminals love strict gun laws.,0.5,1
105,Lisatheeditor,@damon0708 @TomiLahren What the Senate will or will not do has no bearing whatsoever on the fact that we NEED gun control.,0.0,0
106,jazzalh,the time i went on a date with this guy &amp; he dropped his conceal &amp; carry gun on the floor as we were leaving the restaurant…,0.0,0
107,DBistoli,Ok. @Noahpinion Brought up a point that I’ve been thinking about. Making laws for AR 15 even tho most gun deaths are handguns. We need to do this. I know it seems impossible. But this particular weapon holds a special danger. It is a weapon of terror and massacre.,0.0892857142857143,1
108,KarenDi95261360,@StephHoover8 When i was in high school we had loaded hunting rifles in the back glass and unlocked trucks..no guns stolen and no school shootings..Its not a gun problem the world has changed..,0.08,1
109,BLEEDlNGSUN,"Don’t be fooled, this person supported gun rights two days ago. Just because they’re willing to throw their homophobe friend under the bus doesn’t mean they’re not a bad person.",0.09583333333333331,1
110,AGAMEOFSSHADOWS,"Wait, you mean people are shooting people in ""gun-free"" zones? What, did they NOT see the signs posted?!",-0.390625,-1
111,NGrandpa69,"@CurtisHouck Were the kids in that school being invaded by another school, bombing their homes and killing their families?

Do you understand how incredibly fvcking STUPID you sound yet?

Crawl back into your gun cellar, moron.

Go away.

#GunControlNow #EnoughIsEnough https://t.co/9pXKTwrtq1",-0.059999999999999984,-1
112,Joel37143212,Conservatives saying banning guns won't stop gun violence but banning abortions will stop unwanted pregnancies is some spectacular Republican logic.,0.6,1
113,MarvinAlexis0,I’m a gun owner &amp; a big gun-rights advocate. I met @davidhogg111 this week. We had a great conversation. We disagree more than we agree. But I’ll be marching with David &amp; everyone else on June 11th. Because we need to come together &amp; TRY to work together to fix this. Join us.👇,0.43333333333333335,1
114,nielslesniewski,"In response to questions about why there's no interagency task force on gun violence, @PressSec says there's a ""whole of government approach"" led by Amb. Susan Rice.",0.2,1
115,Jennife13130751,Prime Minister @JustinTrudeau says in the coming weeks his government will take new steps on gun control in Canada. #cdnpoli,0.13636363636363635,1
116,crazynakedbaby,@MargeUlmer @jtlarsen WV voters don't want more  gun laws. If they did Manchin would be voting for them.,0.5,1
117,juniperjulip,"Bullshit.
Countries like Australia that have imposed strict gun control cut the instance of gun murders by 70%.",0.0,0
118,Analisa_Swan,It is utterly illogical and immoral that the Republican Party refuses to acknowledge the lessons of other countries who have successfully curbed gun violence. Common sense gun safety reforms work. All the evidence we need is in virtually every other developed nation in the world.,0.05000000000000001,1
119,SurferSolar,"@AimingHigher11 @RpsAgainstTrump @Berlidge They wouldn't even entertain a conversation. They just forcibly removed Beto from the event.

That just goes to show you the depths of denial Republicans will go to in protecting THEIR interests--the gun lobby &amp; industry. Are we tired enough? #VoteBlueToSaveOurKids #VoteBlue2022 https://t.co/ELiARzVDKZ",0.033333333333333326,1
120,Alargos63,"These kinds of mass shootings rarely happen anywhere else in the world.

Why are we willing to live with this carnage? Where in God's name is our backbone to have the courage to stand up to the gun lobby? 

It is time to turn this pain into action.",0.1965909090909091,1
121,mikhlin,Washington's Cascade Mountains are critical location in 'Top Gun: Maverick'  https://t.co/P1BW9jkxjM,0.25,1
122,RockitReports,"Momay--former mega star of Electric Blue--retakes the stage in what's now @XBangkok a bit gun shy, a but tentative, but still godlike in form #patpong #patpongnightlife #bangkoknightlife #bangkokseven #BKK7 #Bangkok #Thailand #Thaigirls #asiangirlsonly #gogobar #RedLightDistrict https://t.co/P8wPshjb60",-0.5,-1
123,BrittanyAmofah,"Before a consideration of disarming the police occurs, stronger gun control laws are needed. 

Not referring to the U.S; I'm speaking of gun control laws right here in Canada. This must be part of police reform conversations.",0.2857142857142857,1
124,HenryJGomez,"Interesting exchange in the briefing room, as @PressSec notes that Biden has experience with gun control, having been at Obama’s side during Newtown.

“Isn’t that an indictment, not a plus?” @shearm asks, if Biden has been working on this so long with few results",0.08333333333333333,1
125,DerechinMatt,"@BillyCorben I understand nostalgia and that Top Gun has a recognizable name/brand, but I remember the first top gun as a dumb, pretty bad movie. Am I the only one?",0.08437500000000002,1
126,kataurama,"This is big news. Don't let Republicans say they are the party of law and order and national security. They blocked this because it would also go after white supremacists, who are part of their base.",-0.26666666666666666,-1
127,Uh_huh_honey,"#BREAKING: Police are searching the school, but the report of a person with a gun has not been confirmed, police spokesman Sgt. Enrique Carrillo said.

https://t.co/XSt5IwTPTa",0.4,1
128,MoralityPLS,"@jaketapper you always get ppl on that mislead or lie. did ur guest just say banning ar15s would be affective for this one but most mass shooters use handguns? Set us straight on that. a gunsafety specialist in the 1990s, left his gun ""hidden"" for his son to kill his best friend",0.30666666666666664,1
129,ritzyzoo,"Hey @tedcruz @SenTedCruz this is Jaime, my daughter who I visit at a cemetery.  On behalf of Jaime, shut the fuck up!!!  Stop telling people like me not to talk about gun violence.  This video makes clear what a low life jerk you are.  I AM NOT GOING AWAY TED UNTIL YOU ARE GONE! https://t.co/yV2EcoCtdj",-0.22708333333333333,-1
130,three1st_names,Will be fun to observe the 1:1 correspondence between people who insist business owners can’t require masks and those who say they can require notepadlessness or Texan accents.,0.3,1
131,D_HITCH,@SciRocker @IAmJohnAles Can’t buy a beer but can buy a machine gun.,0.0,0
132,jerseybigjim,@GOP 👇🏻@NRA 👇🏻Good guy with a gun?,0.0,0
133,tracyasnyder,".@TomCostelloNBC looks at other countries that responded to mass shootings with new gun laws.

His colleague @KeirSimmons says that kids in the U.K., including his own, “don’t worry about the dangers of going to school.”
https://t.co/6WslNujycH",0.20378787878787877,1
134,JOHNKOSMAC6,Can’t stop thinking of the poor families in Texas tonight. And the other 100+ families of those killed in gun violence since Friday. God Bless Them. ♥️,-0.2416666666666667,-1
135,JimAmerica4,"@MamaKay_G @Robb_Texan @Chaz11963 @LinaHidalgoTX Stricter gun laws do not make us safer. Ask the residents of Chicago, LA, New York, etc",0.13636363636363635,1
136,faithm40,"I’ve seen a lot of childless people posting shit about “arm our teachers”, I can’t imagine having a gun in the classroom with my autistic daughter along with all of the other disabled children in there. There’s so many backwards things about that theory.",-0.04500000000000002,-1
137,meehawl,"""Pretty striking how gun buying jumped sharply after a Black man was elected president."" https://t.co/0fzg1yK6tC",0.11458333333333334,1
138,StaySafeEvry1,"To get a wheelchair I need to get around and survive, I have to:

-Submit a report from a physical therapist
-Get approval from vendor
-Get approval from insurance
-Fight insurance denials
-Wait 6 months-1 year

America has makes it harder to get a wheelchair than a gun",-0.05,-1
139,giuseppe40oz,"@DadBluey Why automaton assume that someone is against gun reform and make such accusations? Even if somebody is against gun reform, which I’m not, that doesn’t mean they are for the murder of kids. It’s an stupid comment and a logical fallacy.",-0.21562499999999996,-1
140,BlondeFitz85,"We met with Senator Manchin’s staff last month and implored them to re-introduce the Manchin-Toomey bill. 

We were told they had multiple other priorities.",-0.041666666666666664,-1
141,realrkwest,"Every action the killer took, from buying the guns right up until he pulled the trigger, was completely legal. Existing laws do nothing to prevent these tragedies. The only way to prevent this from happening again are new laws specifically aimed at gun ownership.",0.14441558441558439,1
142,gul_maga,"@OANN We have to STOP gun violence. If we just look back only one month, we can see and realize gun violence. Lives are more important than the second amendment. I also understand that we have mental problems in society. Therefore, psychos should not have easy access to deadly weapons.",0.12916666666666668,1
143,brainvomit1313,"As a paramedic, I 100% endorse this thread.",0.0,0
144,just_juvy,Atp lock up both political parties and let’s start fresh…,0.0,0
145,stillost,"Bullshit.
Countries like Australia that have imposed strict gun control cut the instance of gun murders by 70%.",0.0,0
146,RobertC36441014,@benshapiro The best way to stop all the mayhem about gun violence is to do what they are doing with the Susanna trial. Shut everyone up including the head of the FBI.,1.0,1
147,Observa35589017,Hillary Clinton Rallies America To Change Gun Laws For Our Children https://t.co/o3yMMZra1y,0.0,0
148,ashtom876,"I recently met a woman who hunts dear with a bow and arrow. Now every time I hear the “I use guns for hunting” argument, I’m going to say “oh you use a gun? I guess you aren’t as hard core as Jennifer”",-0.14583333333333334,-1
149,LizChan43643797,@me060943 @POTUS The problem you’d know it! Biggest gun problems are in Dem inner cities Eg Chicago where shootings are common place 800 killed last year in Chicago shootings! #Democrats never stop this! Instead they continue with soft on crime coddle the criminal policies while attacking law&gt;,-0.13333333333333333,-1
150,bobby_chapz,Let’s prove a point: retweet if you support background checks on all gun sales.,0.0,0
151,stacyleeme1994,"""I said, 'What on Earth are you talking about? They’ve been in the Army for three months. They’ve only held a gun once.'”

One Russian mother tells @BBCSteveR the remarkable story of how she saved her sons from the war in Ukraine. For @BBCNews at 10 (Camera/edit @LizaVereykina) https://t.co/bRTOJUAJhh",0.25,1
152,Michefielding,Every student at every school in America should walk out of class and refuse to go back until we have sensible gun laws. Fuck this shit.,-0.20000000000000004,-1
153,ciaraneng,@L3X1P @NivShechter @suhel @JoeBiden I think most reasonable gun owners would accept that.,0.35,1
154,MonkeySensei77,BREAKING: Republicans just blocked a bill that would have opened debate on gun reform measures and domestic terrorism prevention in the Senate.,0.0,0
155,CinnaStyr,"ME: (being eaten alive) HELP ME! I'M BEING EATEN BY A CROCODILE!

GUN EXPERT: Actually, that's an alligator.  

ME: FOR THE LOVE OF GOD JUST GET HELP. 

GUN EXPERT: ...You can tell by the rounded u-shaped snout.",-0.0234375,-1
156,StackhouseSarah,"Wait, so gun control laws aren’t going to help prevent shootings but laws against abortion are supposed to stop abortions?",0.0,0
157,enchantedharlot,"@ShortyTheCorgi @JoJoFromJerz I believe the saying goes ""The only thing that STOPS a bad guy with a gun is a good guy with a gun.""
Not ""Good guy with gun and body armor murdered in shootout."" 
No one is saying he's not a hero. Despite his heroic acts, the issue remains an armed guard couldn't stop it.",0.07000000000000002,1
158,Cgoinggal,The easiest way to protect school children from gun violence is to restrict access to guns. The safest way to protect children from gun violence is to restrict access to guns. The most COST EFFECTIVE way to protect children from gun violence is to RESTRICT ACCESS TO GUNS!,0.625,1
159,swartz_al,The classmates of the slaughtered Uvalde students are too young to be activists for gun safety. But you can be their activist. You can be their voice. It starts by registering to vote &amp; voting to protect the kids who are still with us. Will you do that? https://t.co/nNbabUFqUV,0.1,1
160,hedesfest,WHAT THE HELL,0.0,0
161,CCVesia,"The party of open borders, defunding the police, no cash bail, and releasing thousands of violent criminals early - want you to know they’re really concerned about gun crimes now.",-0.125,-1
